set,unicode_scalar,brightness_delta,raw_density_delta,shape_max_delta,orientation_max_delta,radial_peak_delta,overall_max_delta
braille,U+28B8,0,0,0,0,0,0
braille,U+28B9,0,0,0,0,0,0
braille,U+28BA,0,0,0,0,0,0
braille,U+28BB,0,0,0,0,0,0
braille,U+28BC,0,0,0,0,0,0
braille,U+28BD,0,0,0,0,0,0
braille,U+28BE,0,0,0,0,0,0
braille,U+28BF,0,0,0,0,0,0
braille,U+28C0,0,0,0,0,0,0
braille,U+28C1,0,0,0,0,0,0
braille,U+28C2,0,0,0,0,0,0
braille,U+28C3,0,0,0,0,0,0
braille,U+28C4,0,0,0,0,0,0
braille,U+28C5,0,0,0,0,0,0
braille,U+28C6,0,0,0,0,0,0
braille,U+28C7,0,0,0,0,0,0
braille,U+28C8,0,0,0,0,0,0
braille,U+28C9,0,0,0,0,0,0
braille,U+28CA,0,0,0,0,0,0
braille,U+28CB,0,0,0,0,0,0
braille,U+28CC,0,0,0,0,0,0
braille,U+28CD,0,0,0,0,0,0
braille,U+28CE,0,0,0,0,0,0
braille,U+28CF,0,0,0,0,0,0
braille,U+28D0,0,0,0,0,0,0
braille,U+28D1,0,0,0,0,0,0
braille,U+28D2,0,0,0,0,0,0
braille,U+28D3,0,0,0,0,0,0
braille,U+28D4,0,0,0,0,0,0
braille,U+28D5,0,0,0,0,0,0
braille,U+28D6,0,0,0,0,0,0
braille,U+28D7,0,0,0,0,0,0
braille,U+28D8,0,0,0,0,0,0
braille,U+28D9,0,0,0,0,0,0
braille,U+28DA,0,0,0,0,0,0
braille,U+28DB,0,0,0,0,0,0
braille,U+28DC,0,0,0,0,0,0
braille,U+28DD,0,0,0,0,0,0
braille,U+28DE,0,0,0,0,0,0
braille,U+28DF,0,0,0,0,0,0
braille,U+28E0,0,0,0,0,0,0
braille,U+28E1,0,0,0,0,0,0
braille,U+28E2,0,0,0,0,0,0
braille,U+28E3,0,0,0,0,0,0
braille,U+28E4,0,0,0,0,0,0
braille,U+28E5,0,0,0,0,0,0
braille,U+28E6,0,0,0,0,0,0
braille,U+28E7,0,0,0,0,0,0
braille,U+28E8,0,0,0,0,0,0
braille,U+28E9,0,0,0,0,0,0
braille,U+28EA,0,0,0,0,0,0
braille,U+28EB,0,0,0,0,0,0
braille,U+28EC,0,0,0,0,0,0
braille,U+28ED,0,0,0,0,0,0
braille,U+28EE,0,0,0,0,0,0
braille,U+28EF,0,0,0,0,0,0
braille,U+28F0,0,0,0,0,0,0
braille,U+28F1,0,0,0,0,0,0
braille,U+28F2,0,0,0,0,0,0
braille,U+28F3,0,0,0,0,0,0
braille,U+28F4,0,0,0,0,0,0
braille,U+28F5,0,0,0,0,0,0
braille,U+28F6,0,0,0,0,0,0
braille,U+28F7,0,0,0,0,0,0
braille,U+28F8,0,0,0,0,0,0
braille,U+28F9,0,0,0,0,0,0
braille,U+28FA,0,0,0,0,0,0
braille,U+28FB,0,0,0,0,0,0
braille,U+28FC,0,0,0,0,0,0
braille,U+28FD,0,0,0,0,0,0
braille,U+28FE,0,0,0,0,0,0
braille,U+28FF,0,0,0,0,0,0
