queryPolarity,corpus,charset,arm,oracle,cells,glyphs,candidateW,candidateH,dimension,windows,mean,improvementPercent,productionAgreementPercent,meanInkDelta,maxInkDelta
inverted,nasa-steerable-v1,braille,rectSingleDisc,haarPSI,8640,256,12,24,60,1,0.09003850364253249,-75.85329216305196,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,rectSingleDisc,mae,8640,256,12,24,60,1,0.2535512521084147,-6.039223871415769,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,rectSingleDisc,rmse,8640,256,12,24,60,1,0.32468207262931187,-23.737494934450723,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,rectSingleDisc,ssim,8640,256,12,24,60,1,0.020667095046608273,-93.14673753267041,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulSingleDisc,gmsd,8640,256,12,24,60,1,0.31057391602409345,-47.92653476223159,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulSingleDisc,haarPSI,8640,256,12,24,60,1,0.09003850364253249,-75.85329216305196,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulSingleDisc,mae,8640,256,12,24,60,1,0.2535512521084147,-6.039223871415769,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulSingleDisc,rmse,8640,256,12,24,60,1,0.32468207262931187,-23.737494934450723,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulSingleDisc,ssim,8640,256,12,24,60,1,0.020667095046608273,-93.14673753267041,3.4027777777777777,0.14028928806030846,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiled,gmsd,8640,256,12,24,4320,72,0.2104560834710413,-0.2403535559211892,37.094907407407405,0.12787438644677254,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiled,haarPSI,8640,256,12,24,4320,72,0.3740100264397083,0.3027646081706454,37.094907407407405,0.12787438644677254,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiled,mae,8640,256,12,24,4320,72,0.23953562303471815,-0.17766169538299012,37.094907407407405,0.12787438644677254,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiled,rmse,8640,256,12,24,4320,72,0.26287266903548556,-0.18171095735275522,37.094907407407405,0.12787438644677254,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiled,ssim,8640,256,12,24,4320,72,0.29898236382335713,-0.8566705788507119,37.094907407407405,0.12787438644677254,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiledNoBlur,gmsd,8640,256,12,24,4320,72,0.20997915966139397,-0.01319447118575371,37.48842592592593,0.12787438756004796,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiledNoBlur,haarPSI,8640,256,12,24,4320,72,0.3743674898162093,0.3986298587644059,37.48842592592593,0.12787438756004796,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiledNoBlur,mae,8640,256,12,24,4320,72,0.23917787493173018,-0.02804566759033261,37.48842592592593,0.12787438756004796,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiledNoBlur,rmse,8640,256,12,24,4320,72,0.2624602061741113,-0.02451989100701822,37.48842592592593,0.12787438756004796,0.37615692615509033
inverted,nasa-steerable-v1,braille,faithfulTiledNoBlur,ssim,8640,256,12,24,4320,72,0.3010387541877322,-0.17476618587398662,37.48842592592593,0.12787438756004796,0.37615692615509033
inverted,nasa-occupancy-v1,blocks,squareSingleDisc,gmsd,66880,8,64,64,60,1,0.26027723828822175,0,95.33642344497608,0.580056970801347,1
inverted,nasa-occupancy-v1,blocks,squareSingleDisc,haarPSI,66880,8,64,64,60,1,0.23494474670556584,0,95.33642344497608,0.580056970801347,1
inverted,nasa-occupancy-v1,blocks,squareSingleDisc,mae,66880,8,64,64,60,1,0.6565635226071679,0,95.33642344497608,0.580056970801347,1
inverted,nasa-occupancy-v1,blocks,squareSingleDisc,rmse,66880,8,64,64,60,1,0.6960327273656158,0,95.33642344497608,0.580056970801347,1
inverted,nasa-occupancy-v1,blocks,squareSingleDisc,ssim,66880,8,64,64,60,1,0.006334594216825136,0,95.33642344497608,0.580056970801347,1
inverted,nasa-occupancy-v1,blocks,rectSingleDisc,gmsd,66880,8,12,24,60,1,0.26202930499012683,-0.6731540235435071,85.6877990430622,0.5641359953539509,1
inverted,nasa-occupancy-v1,blocks,rectSingleDisc,haarPSI,66880,8,12,24,60,1,0.22874864323479285,-2.637259848392345,85.6877990430622,0.5641359953539509,1
inverted,nasa-occupancy-v1,blocks,rectSingleDisc,mae,66880,8,12,24,60,1,0.6585559987147744,-0.3034704242621601,85.6877990430622,0.5641359953539509,1
inverted,nasa-occupancy-v1,blocks,rectSingleDisc,rmse,66880,8,12,24,60,1,0.6990848835628936,-0.43850756972731675,85.6877990430622,0.5641359953539509,1
inverted,nasa-occupancy-v1,blocks,rectSingleDisc,ssim,66880,8,12,24,60,1,0.005042643563325024,-20.395160436142827,85.6877990430622,0.5641359953539509,1
inverted,nasa-occupancy-v1,blocks,faithfulSingleDisc,gmsd,66880,8,12,24,60,1,0.26119908906390304,-0.35418032777052677,92.46112440191388,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,faithfulSingleDisc,haarPSI,66880,8,12,24,60,1,0.2322973761182467,-1.1268056104428879,92.46112440191388,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,faithfulSingleDisc,mae,66880,8,12,24,60,1,0.6648054085334804,-1.2553067056763254,92.46112440191388,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,faithfulSingleDisc,rmse,66880,8,12,24,60,1,0.7042685059485227,-1.183245881853596,92.46112440191388,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,faithfulSingleDisc,ssim,66880,8,12,24,60,1,-0.0009216994606490755,-114.5502526144607,92.46112440191388,0.5812156905999416,1
inverted,nasa-occupancy-v1,blocks,faithfulTiled,gmsd,66880,8,12,24,4320,72,0.261334395968886,-0.40616601267822705,93.85616028708134,0.5802700579848193,1
inverted,nasa-occupancy-v1,blocks,faithfulTiled,haarPSI,66880,8,12,24,4320,72,0.23461117400156842,-0.14197921369804256,93.85616028708134,0.5802700579848193,1
inverted,nasa-occupancy-v1,blocks,faithfulTiled,mae,66880,8,12,24,4320,72,0.660875615269594,-0.6567670170440082,93.85616028708134,0.5802700579848193,1
inverted,nasa-occupancy-v1,blocks,faithfulTiled,rmse,66880,8,12,24,4320,72,0.701226525507063,-0.7462002772635334,93.85616028708134,0.5802700579848193,1
inverted,nasa-occupancy-v1,blocks,faithfulTiled,ssim,66880,8,12,24,4320,72,-0.002416764218246322,-138.1518394947418,93.85616028708134,0.5802700579848193,1
inverted,nasa-occupancy-v1,blocks,faithfulTiledNoBlur,gmsd,66880,8,12,24,4320,72,0.26173730958210784,-0.5609677217603095,94.4991028708134,0.5772889493759632,1
inverted,nasa-occupancy-v1,blocks,faithfulTiledNoBlur,haarPSI,66880,8,12,24,4320,72,0.23482549861150392,-0.05075580353850423,94.4991028708134,0.5772889493759632,1
inverted,nasa-occupancy-v1,blocks,faithfulTiledNoBlur,mae,66880,8,12,24,4320,72,0.6582889919956069,-0.2628031148589042,94.4991028708134,0.5772889493759632,1
inverted,nasa-occupancy-v1,blocks,faithfulTiledNoBlur,rmse,66880,8,12,24,4320,72,0.6993008421677326,-0.46953464594776984,94.4991028708134,0.5772889493759632,1
inverted,nasa-occupancy-v1,blocks,faithfulTiledNoBlur,ssim,66880,8,12,24,4320,72,-0.0023081795854181008,-136.437686557529,94.4991028708134,0.5772889493759632,1
inverted,nasa-occupancy-v1,standard,squareSingleDisc,gmsd,66880,95,64,64,60,1,0.29795686152405754,0,80.70574162679426,0.31420083451272623,0.7793939113616943
inverted,nasa-occupancy-v1,standard,squareSingleDisc,haarPSI,66880,95,64,64,60,1,0.18432487235832679,0,80.70574162679426,0.31420083451272623,0.7793939113616943
