corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA,shapeQueryPolarity
nasa-steerable-v1,diagonal,znorm,2,,80,2,24,1,8640,4,0.23782958556817616,0.24542070614095973,0.3043493291833592,0.19680259493287988,0.3712772353090921,0.0018080129999999744,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,5,,80,2,24,1,8640,4,0.24268364914278798,0.25318226185224263,0.3058500559998369,0.20220728579529296,0.3804558813862932,0.001736496999999957,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,10,,80,2,24,1,8640,4,0.24550669512815596,0.257467825737301,0.306202448382879,0.20224055874871258,0.3838979411201571,0.001773927999999958,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,25,,80,2,24,1,8640,4,0.24674631052465174,0.2593602410870447,0.30639746302517307,0.20183676428364583,0.38537244588884384,0.0017711029999999649,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diagonal,znorm,50,,80,2,24,1,8640,4,0.24711168211271878,0.259920387011169,0.30647187761074085,0.20165399366152567,0.38577239515054834,0.0017378809999999477,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,P,,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.0014855679999998435,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,F,,,80,2,24,1,8640,4,0.2464996731760001,0.26068595817015283,0.3057124541414893,0.20551223175754027,0.36999345923261334,0.0001051869999999955,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,F_legacy,,,80,2,24,1,8640,4,0.25805864810431045,0.27532044368311714,0.30564078207962236,0.20382685257096794,0.368390482214236,0.0001081649999999952,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,0,,80,2,24,1,8640,4,0.2475392360678618,0.2523801357005757,0.3030073032494931,0.17012545630847306,0.3804626907827942,0.002782125999999722,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
nasa-steerable-v1,diamond,T,1,,80,2,24,1,8640,4,0.2433868115111786,0.2553454185020016,0.3054390483159245,0.20421041954317526,0.368259890378674,0.0020252090000000473,73fc5d7091b1195ee52eaf8c56caaf53d5f22fff,inverted
