corpus,charset,arm,w,topK,columns,oversample,footprint,stride,cells,glyphs,mae,rmse,ssim,gmsd,haarpsi,selectionWallSeconds,gitSHA
nasa-structure-v1,cross,lex,,2,80,2,24,1,8640,5,0.2720503863484652,0.3017595310113195,0.038946776906232654,0.23603639425704184,0.125032225266101,0.0022010179999999626,a07f806
nasa-structure-v1,cross,lex,,3,80,2,24,1,8640,5,0.2701093212304995,0.30044523798003686,0.03899752503830704,0.2383315801401373,0.12395666015128691,0.0018235270000000463,a07f806
nasa-structure-v1,cross,lex,,4,80,2,24,1,8640,5,0.26981343375630407,0.30029242861955463,0.03900092975739473,0.23848545828339335,0.12462493892748833,0.001825829000000051,a07f806
nasa-structure-v1,cross,lex,,6,80,2,24,1,8640,5,0.2683418156867293,0.2995784234933238,0.03933502345095221,0.23704527441673587,0.12671733745045327,0.0019398060000000968,a07f806
nasa-structure-v1,cross,znorm,0,,80,2,24,1,8640,5,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0017496630000000029,a07f806
nasa-structure-v1,cross,znorm,1,,80,2,24,1,8640,5,0.25772897873312,0.27863907569797197,0.03782784785630279,0.2079554015524701,0.11375922987097473,0.001622492999999962,a07f806
nasa-structure-v1,cross,znorm,2,,80,2,24,1,8640,5,0.2596715732927456,0.2821294438775856,0.03840684614755587,0.22111899520840592,0.1171827723859932,0.0015288389999999377,a07f806
nasa-structure-v1,cross,znorm,5,,80,2,24,1,8640,5,0.2657376979439606,0.29234523757995673,0.038978855806554955,0.2314416879617106,0.12188040294167224,0.001605314999999958,a07f806
nasa-structure-v1,cross,znorm,10,,80,2,24,1,8640,5,0.2672054044405117,0.29523294732412436,0.038980700112118086,0.23376039631697149,0.12394123852414067,0.0015120019999999264,a07f806
nasa-structure-v1,cross,znorm,25,,80,2,24,1,8640,5,0.26755243418374347,0.2971637385539719,0.0392301338302918,0.23463187501429436,0.12577888978405494,0.0015179829999999218,a07f806
nasa-structure-v1,cross,znorm,50,,80,2,24,1,8640,5,0.26780757260092775,0.2980456341425165,0.039254099597515496,0.23520932616636508,0.12644972069548988,0.0014974479999999206,a07f806
nasa-structure-v1,dots,P,,,80,2,24,1,8640,8,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.002196393999999938,a07f806
nasa-structure-v1,dots,F,,,80,2,24,1,8640,8,0.2830150741226489,0.3498357882074585,0.008415221322326472,0.2935250018439176,0.08959698195298274,0.0001091269999999951,a07f806
nasa-structure-v1,dots,F_legacy,,,80,2,24,1,8640,8,0.2861219294104962,0.3467403818405392,0.03825005954097073,0.2807018239805007,0.12062022464983084,0.0001437389999999977,a07f806
nasa-structure-v1,dots,T,0,,80,2,24,1,8640,8,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.00404532699999984,a07f806
nasa-structure-v1,dots,T,1,,80,2,24,1,8640,8,0.26836430430734703,0.307185182776958,0.040278551799558374,0.2448804250229647,0.12483517710942917,0.002743443999999665,a07f806
nasa-structure-v1,dots,T,2,,80,2,24,1,8640,8,0.27494922666930244,0.3230703379908474,0.03985921709009677,0.25919869034672066,0.1244102560005791,0.0025668509999997205,a07f806
nasa-structure-v1,dots,T,5,,80,2,24,1,8640,8,0.2802779962436449,0.34249183585556053,0.035656203942170984,0.2773927959500129,0.1178028898959745,0.002437649999999802,a07f806
nasa-structure-v1,dots,T,10,,80,2,24,1,8640,8,0.2811232713399071,0.3441266882844122,0.033745980400068994,0.28067840388845605,0.11542734636689726,0.00241295499999982,a07f806
nasa-structure-v1,dots,T,25,,80,2,24,1,8640,8,0.2827434111408852,0.34964647996100856,0.00852311620761544,0.29186537500862386,0.09082585404451302,0.002390628999999837,a07f806
nasa-structure-v1,dots,T,50,,80,2,24,1,8640,8,0.2829237085983872,0.3498303833592558,0.00840552523477611,0.29269651810511343,0.09017362542572699,0.002449458999999806,a07f806
nasa-structure-v1,dots,lex,,2,80,2,24,1,8640,8,0.25160150146091614,0.2748812132126117,0.04045906777031384,0.2153950750508887,0.11575521656929397,0.0031453569999995686,a07f806
nasa-structure-v1,dots,lex,,3,80,2,24,1,8640,8,0.2618304179017954,0.3116034760678543,0.012597482827691428,0.2609056590274162,0.09587008345770856,0.0021901659999999643,a07f806
nasa-structure-v1,dots,lex,,4,80,2,24,1,8640,8,0.26378539636584547,0.3165486033827359,0.011742927427174423,0.26616354922417784,0.09468735409835931,0.002189131999999969,a07f806
nasa-structure-v1,dots,lex,,6,80,2,24,1,8640,8,0.28001030039507263,0.34452352754135734,0.008414772637322206,0.2740795833706313,0.08919597688274473,0.002246542999999931,a07f806
nasa-structure-v1,dots,znorm,0,,80,2,24,1,8640,8,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.002192419999999948,a07f806
nasa-structure-v1,dots,znorm,1,,80,2,24,1,8640,8,0.2496703897702332,0.2725278867105639,0.03844216294496671,0.20386715515221837,0.11162172295641361,0.001920581000000024,a07f806
nasa-structure-v1,dots,znorm,2,,80,2,24,1,8640,8,0.2503879546469418,0.273894849907013,0.039648878791247295,0.21488025501264546,0.11456821301237051,0.0017718379999999972,a07f806
nasa-structure-v1,dots,znorm,5,,80,2,24,1,8640,8,0.2653438815206916,0.3005100423868008,0.04001031353653401,0.23848861889042558,0.12468821132994076,0.0018893910000000512,a07f806
nasa-structure-v1,dots,znorm,10,,80,2,24,1,8640,8,0.27265378271150825,0.3169799243025469,0.03993918914953922,0.25298370085598787,0.12433043081950791,0.0018185610000000295,a07f806
nasa-structure-v1,dots,znorm,25,,80,2,24,1,8640,8,0.27965751284410645,0.3403678697985458,0.037331988420411716,0.27587248491310606,0.11963588959281542,0.0018239430000000206,a07f806
nasa-structure-v1,dots,znorm,50,,80,2,24,1,8640,8,0.28075784623910754,0.34346817982274,0.034528621910453694,0.2791455406492588,0.11673419868993257,0.0018146320000000137,a07f806
nasa-structure-v1,minimal,P,,,80,2,24,1,8640,10,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.0023889519999999165,a07f806
nasa-structure-v1,minimal,F,,,80,2,24,1,8640,10,0.2740196233064571,0.327515339398443,0.0343227463669668,0.27126338008409323,0.11722500316762033,0.00011167299999999489,a07f806
nasa-structure-v1,minimal,F_legacy,,,80,2,24,1,8640,10,0.28740102738835527,0.34793344458287967,0.037541118571106445,0.2855747912329661,0.12303609024886888,0.00018317100000000042,a07f806
nasa-structure-v1,minimal,T,0,,80,2,24,1,8640,10,0.26576730312218466,0.28412477752716775,0.03646214615917642,0.1770515881515402,0.11749829572147018,0.004416826000000079,a07f806
nasa-structure-v1,minimal,T,1,,80,2,24,1,8640,10,0.2672596834352454,0.2999909049036634,0.04002096158931814,0.2441847817772092,0.12481471965284746,0.0030697459999997254,a07f806
nasa-structure-v1,minimal,T,2,,80,2,24,1,8640,10,0.2708231136131716,0.3121429962655397,0.04037979823330202,0.2581171985023917,0.1250745679898615,0.002892060999999686,a07f806
nasa-structure-v1,minimal,T,5,,80,2,24,1,8640,10,0.2739032413858602,0.3258917428235267,0.036948335689689,0.2703482507078374,0.11876596237578073,0.002705529999999709,a07f806
nasa-structure-v1,minimal,T,10,,80,2,24,1,8640,10,0.2740589622567573,0.32706852975158857,0.03546189785029528,0.2713228880955822,0.11739671519260753,0.0027292279999997122,a07f806
nasa-structure-v1,minimal,T,25,,80,2,24,1,8640,10,0.27407353579228655,0.32740070782322495,0.03488360881475532,0.2715279076089904,0.11723095937884352,0.0026243629999997396,a07f806
nasa-structure-v1,minimal,T,50,,80,2,24,1,8640,10,0.27407948876423943,0.327500400417766,0.03465166803749616,0.27157374476864826,0.11711000535424052,0.0027185579999997114,a07f806
nasa-structure-v1,minimal,lex,,2,80,2,24,1,8640,10,0.251706152877535,0.27472248304049335,0.03969899506954225,0.22162488002788047,0.11662121141073083,0.0033720209999996927,a07f806
